Date,City,Temp,wind speed,pressure, Humidity
2022-04-08,Greater Noida,30.6,4.4,1005.4,72
2022-04-09,Greater Noida,31.4,4.6,1003.4,77
2022-04-10,Greater Noida,32.2,5.6,1002.7,77
2022-04-11,Greater Noida,31.9,6.5,1002.2,68
2022-04-12,Greater Noida,31.5,4.9,1002.3,59
2022-04-13,Greater Noida,31.4,4.2,1001.9,64
2022-04-14,Greater Noida,31.8,9.4,1001.4,53
2022-04-15,Greater Noida,31.3,5.2,1001.4,47
2022-04-16,Greater Noida,31.2,3.8,1001.2,37
2022-04-17,Greater Noida,31.9,4.1,1001.7,33
2022-04-18,Greater Noida,32.6,3.3,1003.3,27
2022-04-19,Greater Noida,33.2,8.2,1005.2,25
2022-04-20,Greater Noida,33.2,8.2,1003.9,23
2022-04-21,Greater Noida,30.6,5.8,1005.2,25
2022-04-22,Greater Noida,30.2,4.1,1006.2,36
2022-04-23,Greater Noida,30.2,4.6,1006.3,38
2022-04-24,Greater Noida,31.4,9.2,1004.5,46
2022-04-25,Greater Noida,32.2,10.2,1003.2,49
2022-04-26,Greater Noida,32.3,5.2,1003.4,52
2022-04-27,Greater Noida,32.6,4.9,1003.1,52
2022-04-28,Greater Noida,33.6,5.8,1002.7,49
2022-04-29,Greater Noida,34.4,6.8,1002.2,52
2022-04-30,Greater Noida,34.3,5.1,999.5,59
2022-05-01,Greater Noida,33.3,8,998.9,59
2022-05-02,Greater Noida,33.4,9.6,999.1,59
2022-05-03,Greater Noida,33.2,7.4,1001.6,63
2022-05-04,Greater Noida,31.8,8.9,1004.1,59
2022-05-05,Greater Noida,30.2,5.3,1004.9,59
2022-05-06,Greater Noida,32,3.8,1003.8,59
2022-05-07,Greater Noida,31.9,3.5,1003.6,49
2022-05-08,Greater Noida,33.1,5.5,1001.8,46
2022-05-09,Greater Noida,33.5,8.8,1001.4,38
2022-05-10,Greater Noida,33.9,7.8,1001.7,32
2022-05-11,Greater Noida,34.6,7.5,999.8,23
2022-05-12,Greater Noida,35.4,7.3,998.2,23
2022-05-13,Greater Noida,35.1,6.7,995.6,23
2022-05-14,Greater Noida,36.2,4.9,995.4,25
2022-05-15,Greater Noida,36.6,6,996.7,26
2022-05-16,Greater Noida,36,8.9,997.3,41
2022-05-17,Greater Noida,34.2,7.1,998.3,46
2022-05-18,Greater Noida,35,5.8,999.8,49
